7.03214e-1     1.52696e-10	9.67505e-1     1.40921e-10
8.59823e-1     1.52630e-10	3.00010e+0     1.36435e-10
1.05137e+0     1.54222e-10	5.01196e+0     1.30305e-10
1.28547e+0     1.53061e-10	9.98133e+0     1.42323e-10
1.57174e+0     1.52828e-10	2.03564e+1     1.70031e-10
1.92173e+0     1.52112e-10	4.88499e+1     1.77495e-10
2.34958e+0     1.50429e-10	9.94911e+1     1.62015e-10
2.87290e+0     1.51023e-10	3.05392e+2     2.11536e-10
3.51267e+0     1.50565e-10	6.04101e+2     6.10636e-10
4.29502e+0     1.50934e-10	6.26571e+2     8.23414e-10
5.25183e+0     1.52501e-10	6.50320e+2     1.27027e-9
6.42115e+0     1.51121e-10	6.82116e+2     1.56588e-9
7.85138e+0     1.51858e-10	7.24302e+2     2.17550e-9
9.59942e+0     1.50237e-10	7.96586e+2     3.09078e-9
1.17379e+1     1.51769e-10	8.23560e+2     6.98124e-9
1.43517e+1     1.51212e-10	8.49416e+2     9.84587e-9
1.75482e+1     1.51637e-10	8.65889e+2     1.37829e-8
2.14563e+1     1.51571e-10	
2.62353e+1     1.52151e-10	
3.20780e+1     1.52082e-10	
3.92219e+1     1.52015e-10	
4.79550e+1     1.50818e-10	
5.86389e+1     1.52860e-10	
7.16985e+1     1.52956e-10	
8.76675e+1     1.53379e-10	
1.07195e+2     1.54280e-10	
1.31075e+2     1.55974e-10	
1.60275e+2     1.57571e-10	
1.96008e+2     1.63781e-10	
2.39683e+2     1.66853e-10	
2.94963e+2     1.79639e-10	
3.58646e+2     1.98694e-10	
4.44589e+2     2.39709e-10	
5.21874e+2     3.06796e-10	
5.78886e+2     3.97798e-10	
6.36090e+2     5.74606e-10	
6.59426e+2     8.52883e-10	
6.94194e+2     1.30862e-9	
7.04773e+2     1.92789e-9	
7.22270e+2     3.66318e-9	
7.33194e+2     7.13581e-9	
7.45975e+2     9.28071e-9	
7.48903e+2     2.01029e-8	
7.49457e+2     1.11409e-8	
7.49484e+2     1.47970e-8	
7.49881e+2     2.60107e-8	
7.50861e+2     3.36546e-8	
7.51842e+2     4.35448e-8	
7.52824e+2     5.63416e-8	
7.53808e+2     7.28991e-8	
7.54792e+2     9.43223e-8	
7.55778e+2     1.22041e-7	
7.57653e+2     5.39927e-9	
7.66405e+2     2.85467e-9	
7.87315e+2     1.27973e-9	
7.93200e+2     9.16588e-10	
8.06695e+2     6.94082e-10	
8.30436e+2     5.20360e-10	
8.61390e+2     3.88255e-10	
9.12540e+2     2.76418e-10	
9.71242e+2     2.00281e-10	
